fips_country,fips_adm1,fips_adm1_name,fips_adm1_name_ascii,adm1_type,start_cn,end_cn,current
AC,AC01,Barbuda,Barbuda,dependency,413,414,True
AC,AC03,Saint George,Saint George,parish,399,414,True
AC,AC04,Saint John,Saint John,parish,399,414,True
AC,AC05,Saint Mary,Saint Mary,parish,399,414,True
AC,AC06,Saint Paul,Saint Paul,parish,399,414,True
AC,AC07,Saint Peter,Saint Peter,parish,399,414,True
AC,AC08,Saint Philip,Saint Philip,parish,399,414,True
AC,AC09,Redonda,Redonda,dependency,413,414,True
AE,AE01,Abū Z̧aby,Abu Zaby,emirate,401,414,True
AE,AE02,ʻAjman,ʻAjman,emirate,401,414,True
AE,AE03,Dubayy,Dubayy,emirate,401,414,True
AE,AE04,Al Fujayrah,Al Fujayrah,emirate,401,414,True
AE,AE05,Raʼs al Khaymah,Raʼs al Khaymah,emirate,401,414,True
AE,AE06,Ash Shāriqah,Ash Shariqah,emirate,401,414,True
AE,AE07,Umm al Qaywayn,Umm al Qaywayn,emirate,401,414,True
AF,AF01,Badakhshan,Badakhshan,province,399,414,True
AF,AF02,Badghis,Badghis,province,399,414,True
AF,AF03,Baghlan,Baghlan,province,399,414,True
AF,AF04,Balkh,Balkh,province,399,399,False
AF,AF05,Bamian,Bamian,province,399,414,True
AF,AF06,Farah,Farah,province,399,414,True
AF,AF07,Faryab,Faryab,province,399,414,True
AF,AF08,Ghazni,Ghazni,province,399,414,True
AF,AF09,Ghowr__Ghor,Ghowr__Ghor,province,399,414,True
AF,AF10,Helmand,Helmand,province,399,414,True
AF,AF11,Herat,Herat,province,399,414,True
AF,AF12,Jowzjan,Jowzjan,province,399,399,False
AF,AF13,Kabol,Kabol,province,399,414,True
AF,AF14,Kapisa,Kapisa,province,399,414,True
AF,AF15,Konar,Konar,province,399,408,False
AF,AF16,Laghman,Laghman,province,399,408,False
AF,AF17,Lowgar__Logar,Lowgar__Logar,province,399,414,True
AF,AF18,Nangarhar,Nangarhar,province,399,414,True
AF,AF19,Nimruz__Chakhansur,Nimruz__Chakhansur,province,399,414,True
AF,AF20,Oruzgan__Uruzgan,Oruzgan__Uruzgan,province,399,409,False
AF,AF21,Paktia,Paktia,province,399,408,False
AF,AF22,Parvan__Parwan,Parvan__Parwan,province,399,409,False
AF,AF23,Kandahar__Kandahar,Kandahar__Kandahar,province,399,414,True
AF,AF24,Kondoz__Kunduz,Kondoz__Kunduz,province,399,414,True
AF,AF25,Samangan,Samangan,province,399,399,False
AF,AF26,Takhar,Takhar,province,399,414,True
AF,AF27,Vardak__Warkak,Vardak__Warkak,province,399,414,True
AF,AF28,Zabol__Zabul,Zabol__Zabul,province,399,414,True
AF,AF29,Paktika,Paktika,province,399,414,True
AF,AF30,Balkh,Balkh,province,400,414,True
AF,AF31,Jowzjan,Jowzjan,province,400,414,True
AF,AF32,Samangan,Samangan,province,400,414,True
AF,AF33,Sar-e Pol,Sar-e Pol,province,400,414,True
AF,AF34,Konar,Konar,province,409,414,True
AF,AF35,Laghmān,Laghman,province,409,414,True
AF,AF36,Paktīā,Paktia,province,409,414,True
AF,AF37,Khowst,Khowst,province,409,414,True
AF,AF38,Nūrestān,Nurestan,province,409,414,True
AF,AF39,Orūzgān__Uruzgan,Oruzgan__Uruzgan,province,410,414,True
AF,AF40,Parvān__Parwan,Parvan__Parwan,province,410,414,True
AF,AF41,Dāykondī,Daykondi,province,410,414,True
AF,AF42,Panjshīr,Panjshir,province,410,414,True
AG,AG01,Alger,Alger,province,399,414,True
AG,AG02,Annaba,Annaba,province,399,399,False
AG,AG03,Batna,Batna,province,399,414,True
AG,AG04,Constantine,Constantine,province,399,414,True
AG,AG05,El Asnam,El Asnam,province,399,399,False
AG,AG06,Medea,Medea,province,399,414,True
AG,AG07,Mostaganem,Mostaganem,province,399,414,True
AG,AG09,Oran,Oran,province,399,414,True
AG,AG10,Saida,Saida,province,399,414,True
AG,AG12,Setif,Setif,province,399,414,True
AG,AG13,Tiaret,Tiaret,province,400,414,True
AG,AG14,Tizi Ouzou,Tizi Ouzou,province,399,414,True
AG,AG15,Tlemcen,Tlemcen,province,399,414,True
AG,AG16,Adrar,Adrar,province,399,399,False
AG,AG17,Bechar,Bechar,province,399,399,False
AG,AG18,Bejaia,Bejaia,province,399,414,True
AG,AG19,Biskra,Biskra,province,399,414,True
AG,AG20,Blida,Blida,province,399,414,True
AG,AG21,Bouira,Bouira,province,399,414,True
AG,AG22,Djelfa,Djelfa,province,399,414,True
AG,AG23,Guelma,Guelma,province,399,414,True
AG,AG24,Jijel,Jijel,province,399,414,True
AG,AG25,Laghouat,Laghouat,province,399,414,True
AG,AG26,Mascara,Mascara,province,399,414,True
AG,AG27,M'sila,M'sila,province,399,414,True
AG,AG28,Ouargla,Ouargla,province,399,399,False
AG,AG29,Oum el Bouaghi,Oum el Bouaghi,province,399,414,True
AG,AG30,Sidi Bel Abbes,Sidi Bel Abbes,province,399,414,True
AG,AG31,Skikda,Skikda,province,399,414,True
AG,AG32,Tamanrasset,Tamanrasset,province,399,399,False
AG,AG33,Tebessa,Tebessa,province,399,414,True
AG,AG34,Adrar,Adrar,province,400,414,True
AG,AG35,Ain Defla,Ain Defla,province,400,414,True
AG,AG36,Ain Temouchent,Ain Temouchent,province,400,414,True
AG,AG37,Annaba,Annaba,province,400,414,True
AG,AG38,Bechar,Bechar,province,400,414,True
AG,AG39,Bordj Bou Arreridj,Bordj Bou Arreridj,province,400,414,True
AG,AG40,Boumerdes,Boumerdes,province,400,414,True
AG,AG41,Chlef,Chlef,province,400,414,True
AG,AG42,El Bayadh,El Bayadh,province,400,414,True
AG,AG43,El Oued,El Oued,province,400,414,True
AG,AG44,El Tarf,El Tarf,province,400,414,True
AG,AG45,Ghardaia,Ghardaia,province,400,414,True
AG,AG46,Illizi,Illizi,province,400,414,True
AG,AG47,Khenchela,Khenchela,province,400,414,True
AG,AG48,Mila,Mila,province,400,414,True
AG,AG49,Naama,Naama,province,400,414,True
AG,AG50,Ouargla,Ouargla,province,400,414,True
AG,AG51,Relizane,Relizane,province,400,414,True
AG,AG52,Souk Ahras,Souk Ahras,province,400,414,True
AG,AG53,Tamanghasset,Tamanghasset,province,400,414,True
AG,AG54,Tindouf,Tindouf,province,400,414,True
AG,AG55,Tipaza,Tipaza,province,400,414,True
AG,AG56,Tissemsilt,Tissemsilt,province,400,414,True
AJ,AJ01,Abşeron,Abseron,rayon,401,414,True
AJ,AJ02,Ağcabədi,Agcabədi,rayon,401,414,True
AJ,AJ03,Ağdam,Agdam,rayon,401,414,True
AJ,AJ04,Ağdaş,Agdas,rayon,401,414,True
AJ,AJ05,Ağstafa,Agstafa,rayon,401,414,True
AJ,AJ06,Ağsu,Agsu,rayon,401,414,True
AJ,AJ08,Astara,Astara,rayon,401,414,True
AJ,AJ10,Balakən,Balakən,rayon,401,414,True
AJ,AJ11,Bərdə,Bərdə,rayon,401,414,True
AJ,AJ12,Beyləqan,Beyləqan,rayon,401,414,True
AJ,AJ13,Biləsuvar,Biləsuvar,rayon,401,414,True
AJ,AJ14,Cəbrayıl,Cəbrayıl,rayon,401,414,True
AJ,AJ15,Cəlilabad,Cəlilabad,rayon,401,414,True
AJ,AJ16,Daşkəsən,Daskəsən,rayon,401,414,True
AJ,AJ17,Dəvəçi,Dəvəci,rayon,401,414,True
AJ,AJ18,Füzuli,Fuzuli,rayon,401,414,True
AJ,AJ19,Gədəbəy,Gədəbəy,rayon,401,414,True
AJ,AJ21,Goranboy,Goranboy,rayon,401,414,True
